Nº do Processo,Marca,Situação,Apresentação,Natureza,Apostila
823382958,SERVEMAIS,Registro de marca em vigor,Mista,Coletiva,SEM DIREITO AO USO EXCLUSIVO DOS ELEMENTOS NOMINATIVOS.
826612180,COOTRADE COOPERATIVA MISTA DETRABALHO MULTIDISCIPLINAR,Arquivado,Nominativa,Coletiva,
900062819,INOVATIVA,Arquivado,Nominativa,Coletiva,
900337729,HOTEL ECONOMIC,Arquivado,Nominativa,Coletiva,
900701277,ARCA MULTINCUBADORA,Arquivado,Mista,Coletiva,
901162809,REDE DE FARMÁCIAS ECONOMIZAR,Arquivado,Mista,Coletiva,
902291408,COPA MATO GROSSO DE RODEIO,Arquivado,Mista,Coletiva,
902291831,RIQUEZAS DO VALE QUALIDADE CERTIFICADA,Arquivado,Mista,Coletiva,
902470868,CONSTRUQUALITY,Arquivado,Mista,Coletiva,
902668358,Copacis,Arquivado,Mista,Coletiva,
902675060,SINTEP-MT,Pedido definitivamente arquivado,Mista,Coletiva,
902707809,MTmamma amigos do peito,Arquivado,Mista,Coletiva,
902960407,Aluminia,Arquivado,Mista,Coletiva,
903001802,Hospital das clínicas Primavera,Arquivado,Mista,Coletiva,
903021544,valiscon tripas,Arquivado,Mista,Coletiva,
903243725,GRUPO ARTENORTE,Arquivado,Mista,Coletiva,
903340470,RIQUEZAS DO VALE QUALIDADE GARANTIDA,Registro de marca extinto,Mista,Coletiva,"Sem direito ao uso exclusivo da expressão ""QUALIDADE GARANTI...ApostilamentoSem direito ao uso exclusivo da expressão ""QUALIDADE GARANTIDA""."
903684365,EXTRA EMBALAGENS,Arquivado,Mista,Coletiva,
903705117,DimBo,Arquivado,Mista,Coletiva,
903797313,CUIABÁ IMÓBILIARIA,Arquivado,Mista,Coletiva,
903835983,Blocco Construtora e Incorporadora,Arquivado,Mista,Coletiva,
903908123,CAVE NOBLE,Arquivado,Mista,Coletiva,
903947897,Grupo de Teatro Sal e Luz,Arquivado,Mista,Coletiva,
903949652,CENTROFARMA,Arquivado,Mista,Coletiva,
903957558,GN Grupo Norte,Arquivado,Mista,Coletiva,
903957647,VF VIDROFORT Design,Arquivado,Mista,Coletiva,
904063070,CECORD,Arquivado,Mista,Coletiva,
904150461,AP Tecnologias Agrícolas,Arquivado,Nominativa,Coletiva,
904415163,MAIA consultoria e assessoria,Arquivado,Mista,Coletiva,
904533743,Giacomazzi Equipamentos Agricolas,Arquivado,Mista,Coletiva,
904600742,Gráfica Elisa,Arquivado,Mista,Coletiva,
904617351,HIDRO & ELETRICA MOURA,Arquivado,Nominativa,Coletiva,
904669580,JKS Lubrificantes e Combustivéis para aviação LTDA - EPP,Arquivado,Nominativa,Coletiva,
905656300,SPGlobal,Pedido definitivamente arquivado,Mista,Coletiva,
905784650,SELL AGRO,Pedido definitivamente arquivado,Nominativa,Coletiva,
